,level_0,level_1,NY.GDP.MKTP.KD.ZG,GC.XPN.INTP.CN,GC.XPN.TOTL.GD.ZS,NY.GDP.MKTP.CD,NY.GDP.PCAP.CD,NY.GDP.PCAP.PP.CD,NY.GNS.ICTR.ZS,NY.GDP.DEFL.KD.ZG,GC.XPN.INTP.ZS,SL.UEM.TOTL.ZS,FP.CPI.TOTL.ZG,BX.KLT.DINV.CD.WD,FR.INR.LEND,FM.LBL.BMNY.GD.ZS,CM.MKT.LCAP.GD.ZS,FS.AST.PRVT.GD.ZS,CM.MKT.TRAD.GD.ZS,NE.EXP.GNFS.ZS,NE.IMP.GNFS.ZS,SL.TLF.ACTI.ZS,EN.ATM.CO2E.PC,EG.ELC.RNWX.ZS,AG.PRD.FOOD.XD,AG.LND.FRST.ZS,FS.AST.PRVT.GD.ZS.1,TG.VAL.TOTL.GD.ZS,GC.XPN.TOTL.GD.ZS.1,MS.MIL.XPND.GD.ZS,GC.NFN.TOTL.GD.ZS,GC.NLD.TOTL.GD.ZS,GC.REV.XGRT.GD.ZS,GC.TAX.TOTL.GD.ZS,TG.VAL.TOTL.GD.ZS.1,NY.GDP.TOTL.RT.ZS,SP.RUR.TOTL.ZS,SL.AGR.EMPL.MA.ZS,SP.POP.TOTL,SP.POP.GROW,SP.URB.TOTL.IN.ZS,EN.URB.MCTY.TL.ZS,EG.ELC.ACCS.ZS,SP.POP.0014.TO.ZS,SP.POP.1564.TO.ZS,EN.URB.LCTY.UR.ZS,EN.POP.DNST,SP.URB.TOTL,EN.URB.MCTY.TL.ZS.1,BN.CAB.XOKA.CD,BN.TRF.CURR.CD,BN.TRF.KOGT.CD,NE.EXP.GNFS.ZS.1,NY.EXP.CAPM.KN,NE.EXP.GNFS.KD.ZG,NE.IMP.GNFS.ZS.1,NE.IMP.GNFS.KD.ZG,FI.RES.TOTL.CD,NV.IND.TOTL.ZS,NV.MNF.TECH.ZS.UN,NV.AGR.TOTL.ZS,BM.GSR.ROYL.CD,TX.VAL.FUEL.ZS.UN,TX.VAL.MMTL.ZS.UN,NY.GDP.TOTL.RT.ZS.1,BX.KLT.DINV.CD.WD.1,SL.TLF.CACT.MA.ZS,SP.POP.DPND,SH.IMM.IDPT,SH.IMM.MEAS,SP.POP.1564.TO.ZS.1,SP.POP.1564.TO.ZS.2,SL.TLF.TOTL.IN,SP.POP.1564.TO
408,CHE,1995,0.480866574463818,3294495952.13,17.6026699393401,353132515010.571,50155.9741273218,30851.8004105071,32.9215031281334,0.737757508586355,4.48199714564713,3.32999992370605,1.79982776867147,4158247959.95384,,109.837846592545,112.734456069015,146.486702753601,90.3674927782981,39.9977775233962,36.020916357953,79.58,6.16985245900009,0.931756843593369,98.71,29.7209643552835,146.486702753601,45.8165116840506,17.6026699393401,1.35581088252354,1.01871757899512,-1.12082259380693,16.1344544205493,7.90881076417554,45.8165116840506,0.0193355032058604,26.346,4.96999979019165,7040687.0,0.668242326234317,73.654,15.2202476832161,100.0,17.6432320051645,67.6727437456052,20.6645212995309,178.114472918617,5185748.0,15.2202476832161,20702527127.2048,-4408825318.20772,-462253067.909451,39.9977775233962,178416152320.933,2.85727103241686,36.020916357953,5.86482882636976,68620316792.5668,29.1362951725955,34.2014664846647,1.39756745881396,,0.100227817143182,2.52374686335285,0.0193355032058604,4158247959.95384,79.0339965820313,47.7699823658772,89.0,83.0,67.6727437456052,67.6727437456052,3887882.0,4764626.0
409,CHE,1996,0.493909886300315,3034232612.1,18.2811557748766,340471241909.385,48144.5791284296,31534.0960736994,32.2391868803484,0.281380795676796,3.94408546272964,3.71000003814697,0.811634064628214,4880219415.70052,,119.418223535624,117.567838550821,144.519379318768,121.950270358078,40.9909311992394,37.484240949072,80.22,6.22326548215813,1.10753586602905,101.83,29.8296903460838,144.519379318768,46.3977512796935,18.2811557748766,1.28433576066256,0.923328552702826,-1.36261312960831,16.4952780685622,8.32905042633003,46.3977512796935,0.0184148972045129,26.4,5.19000005722046,7071850.0,0.441636406706345,73.6,15.3117501078219,100.0,17.7169956435271,67.4813545205031,20.8040066998637,178.907356810362,5204882.0,15.3117501078219,19915939191.4305,-4270191988.73796,-214480465.368403,40.9909311992394,182596734867.977,3.01046044280278,37.484240949072,3.9204163688638,69182548684.4613,28.08635960265,34.9052310492848,1.21841098046919,,0.119050012386532,2.47212349476364,0.0184148972045129,4880219415.70052,79.0189971923828,48.1890666320214,89.0,83.0,67.4813545205031,67.4813545205031,3936506.0,4772180.0
410,CHE,1997,2.26916811879858,3200879624.46,18.5046168491871,295121356714.67,41631.4388587844,32771.0593671899,33.5214410886564,-0.479120571776932,4.03860529900979,4.19999980926514,0.520225422736623,8391921105.89553,,125.10293225374,194.95009659916,146.073065717353,183.073609451574,46.4594623574009,41.6702489466586,80.29,6.03054970682359,1.1017550651697,96.19,29.9384218382372,146.073065717353,51.5415087858462,18.5046168491871,1.22094631154933,0.85177964536753,-1.6424536842547,16.3869111489941,8.31453245956124,51.5415087858462,0.0194888547541336,26.454,5.30000019073486,7088906.0,0.240891210155647,73.546,15.4343279484874,100.0,17.7191282799708,67.357453652171,20.9859508014317,179.343385533939,5213607.0,15.4343279484874,25316670255.3723,-4049713621.29107,-166883424.486456,46.4594623574009,205244996192.415,14.8074164553393,41.6702489466586,10.2479567747112,63195012603.3216,27.3439498353557,54.5455803781524,1.24378386313406,,0.237382048453701,3.22692080489058,0.0194888547541336,8391921105.89553,78.6289978027344,48.4616559024082,89.0,83.0,67.357453652171,67.357453652171,3932483.0,4774907.0
411,CHE,1998,3.06533137545706,3487110793.49,18.4972112526271,303882354117.809,42740.1281825149,33905.1273776599,34.3704159049857,-0.1971048871752,4.27903572146296,3.59999990463257,0.0179384378439626,11345529735.0728,,127.822461157245,226.798009381226,144.284896067171,226.432397497237,45.92147511399,41.8185418859037,81.05,6.22362781664869,1.13475860297894,101.07,30.0471588321611,144.284896067171,52.3064264331644,18.4972112526271,1.18432003291596,0.825776509257058,-0.933021512759205,17.0916704223024,9.2490540881193,52.3064264331644,0.0175743154301652,26.508,5.26000022888184,7110001.0,0.297135765740057,73.492,15.5493508369408,100.0,17.6563396726064,67.2974588854404,21.15788200522,179.881622223347,5225282.0,15.5493508369408,25194278318.4895,-4574864889.06961,138707514.163447,45.92147511399,212530337811.108,2.57055361593179,41.8185418859037,5.13552674074451,65157795246.4752,26.7062212601393,55.5532914934659,1.17030209755943,,0.202739377477747,3.35447407288013,0.0175743154301652,11345529735.0728,78.4929962158203,48.5940207112031,88.0,81.0,67.2974588854404,67.2974588854404,3980566.0,4784850.0
412,CHE,1999,1.74553440094867,3713727769.1,19.1722043069301,298520480628.412,41786.2341411701,34818.0760351278,34.5229741645983,0.039832310245373,4.31952634252482,3.15000009536743,0.806444380959444,14541329307.9251,,142.256394619398,227.197818579235,150.854924329628,155.852439008742,46.661342074393,42.4571995953612,81.05,6.23321054015886,1.12271198287537,95.34,30.1559013282732,150.854924329628,53.6502553067232,19.1722043069301,1.08540161237362,0.794612743197956,-1.81148472456358,16.8360715188793,8.89956099567515,53.6502553067232,0.0169483583439358,26.562,5.67000007629395,7143991.0,0.476919931285641,73.438,15.637099766783,100.0,17.5587246541721,67.2793792630724,21.2929274985304,180.746135357369,5246404.0,15.637099766783,28283270188.0401,-5326331692.47832,-515214262.382579,46.661342074393,220467749223.997,3.29930802017952,42.4571995953612,3.64901990580839,60492112040.3757,26.3544797124511,55.4956115629278,1.0899840826413,,0.219329699351279,4.09871482882512,0.0169483583439358,14541329307.9251,78.2170028686523,48.6339453811173,93.0,82.0,67.2793792630724,67.2793792630724,3996681.0,4806433.0
413,CHE,2000,3.97640923409377,3654618192.77,18.4795644561644,279841151705.353,38952.0342005572,36772.6946184421,37.7226608862067,1.35684761821464,4.18466292108358,2.67000007629395,1.55852919679006,23080879762.6769,,112.130909293283,283.130606478577,141.546769813542,226.592163495542,51.2984432612434,45.8367177357759,80.56,6.08414239482201,1.29604984574436,97.35,30.2646493269912,141.546769813542,58.2548345754545,18.4795644561644,1.02928085285136,0.60900122402289,0.0224887339472556,17.9822987642417,10.0099348541733,58.2548345754545,0.0338428064553534,26.617,5.51000022888184,7184250.0,0.561954617400164,73.383,15.7122037791001,100.0,17.4435146976502,67.2884073249371,21.4112319039882,181.769304726242,5272018.0,15.7122037791001,29701153777.3181,-2649887357.18892,-3530012997.90051,51.2984432612434,242570703514.381,12.1465291146706,45.8367177357759,8.04594817900148,53620270122.4935,25.5418370394653,55.6462637674431,1.05153529982011,1674648248.33175,0.359210741124484,5.64125825975811,0.0338428064553534,23080879762.6769,77.7789993286133,48.6140218159613,93.0,82.0,67.2884073249371,67.2884073249371,3995758.0,4834167.0
414,CHE,2001,1.57581726236337,3537367995.71,17.4858237204281,287226531168.523,39727.8466713883,37896.6969577575,34.6037265747042,0.975019314658638,4.17349671887818,2.49000000953674,0.989020329832555,9765012889.09898,,113.603585716848,183.602781349814,136.354645108248,204.227160914961,50.0525410885077,45.0784161908191,81.14,6.24493938605123,1.26516366911537,94.63,30.362927915391,136.354645108248,57.8797506357305,17.4858237204281,0.991880361874705,0.667831751664589,0.123830644973855,17.0838119441452,8.9505236932646,57.8797506357305,0.0199984296167918,26.625,5.11999988555908,7229854.0,0.632771238018431,73.375,15.7796409166769,100.0,17.2450599783903,67.3869218011165,21.5054746503472,182.9277635807,5304905.0,15.7796409166769,19640172740.2301,-3773044259.82889,321957383.425129,50.0525410885077,243225874850.066,0.10828162296977,45.0784161908191,1.06589334250249,51549537913.3508,26.3192852376988,52.0469091738565,0.91885973243129,1786884292.73074,0.323285806119116,4.05797097794386,0.0199984296167918,9765012889.09898,77.3899993896484,48.3967490808658,93.0,82.0,67.3869218011165,67.3869218011165,4056516.0,4871976.0
415,CHE,2002,-0.0055064625279044,3492259908.55,19.4320266922371,310175772488.13,42578.7631355696,38814.3717381965,32.7947206443847,-0.259305172834772,3.71745667270182,2.92000007629395,0.64271150654328,8258050580.1782,,120.434380608786,197.522564410941,137.120647075018,158.220723063978,48.3816700803584,42.277335002008,81.22,5.98098517476491,1.4297716336974,96.82,30.461211477152,137.120647075018,57.6731053379888,19.4320266922371,0.956388839221095,0.723693080548602,-1.74627484781208,17.1671631935042,8.93045916473156,57.6731053379888,0.0174480390312237,26.599,5.05999994277954,7284753.0,0.756469145838096,73.401,15.8307357847274,100.0,17.0320607912856,67.5125966414219,21.5674642730371,184.321466524973,5347082.0,15.8307357847274,22003837196.718,-4269295497.6403,-2457150407.69447,48.3816700803584,245323711953.997,-1.75573247730121,42.277335002008,-2.13802354269215,61276111966.1962,26.5219938097835,59.0005202979658,0.931026266283462,2601504511.03843,2.01166143611286,3.64695686219904,0.0174480390312237,8258050580.1782,76.7080001831055,48.1205239556693,93.0,82.0,67.5125966414219,67.5125966414219,4093004.0,4918126.0
416,CHE,2003,-0.0468463729696538,3093247318.42,18.2966003992254,363063293977.872,49470.3971259674,38840.8818833536,36.5880199647288,1.18453918712542,3.45772968398497,4.11999988555908,0.638272930887213,19721053893.3922,,129.034348767463,200.268876545894,140.503280606481,123.579477033926,47.5483837971892,41.5794731144055,81.25,6.10982341501083,1.48470948012232,93.03,30.5595000126515,140.503280606481,56.4807854171284,18.2966003992254,0.926631178067204,0.7018437758787,-0.782055823775111,16.9519492368795,8.95314147773676,56.4807854171284,0.0179148196136816,26.573,5.03999996185303,7339001.0,0.74191960337232,73.427,15.8843145000253,100.0,16.8018393147614,67.6550236442641,21.6327989418068,185.698767743731,5388808.0,15.8843145000253,40135152430.65,-3557583840.16207,-2168887233.56881,47.5483837971892,246117288037.741,-1.18665005235789,41.5794731144055,0.396614527164928,69563022240.0611,26.0913147933897,57.1415191533202,0.834713711309976,2884515207.42887,2.01154346324827,3.06662604068372,0.0179148196136816,19721053893.3922,76.7929992675781,47.8086797256829,93.0,82.0,67.6550236442641,67.6550236442641,4142863.0,4965203.0
417,CHE,2004,2.82152811537493,3162391174.18,18.1026122154065,405531321270.607,54878.4710009787,40336.4089557059,36.892539772991,0.307391005968086,3.464209503216,4.32000017166138,0.802908730955216,7102294152.7232,,128.674836886595,204.447357457441,142.134441433853,10.8139144129725,51.0695128247444,42.8710358404192,80.93,6.1275096881502,1.5705002740155,97.16,30.6577935222672,142.134441433853,58.846995899672,18.1026122154065,0.888924252718084,0.725605560665147,-0.926860186118931,16.6480435013215,8.98439451136256,58.846995899672,0.0137092830012446,26.548,4.73000001907349,7389625.0,0.687425960233006,73.452,15.9470067831588,100.0,16.551563771337,67.7992533046995,21.7107877609216,186.984438259109,5427827.0,15.9470067831588,51904368978.8547,-3839830507.70218,-3171987234.5029,51.0695128247444,267661373148.34,9.87381915647487,42.8710358404192,4.40051006836468,74567877421.4052,25.6689766706908,57.1762115754868,0.931268101342743,5014280399.96922,1.85628442811306,3.12039211621662,0.0137092830012446,7102294152.7232,75.9629974365234,47.4942371536279,93.0,82.0,67.7992533046995,67.7992533046995,4148223.0,5010111.0
